Am_tu_Ns14,2858,1425
Am_tu_Hp23,4324,952
Am_tu_Hp22,4026,866
Am_tu_Hp21,4245,809
Am_tu_Hp20,4263,726
Am_tu_Hp27,2695,387
Op_me_Lcha,757,44
Am_tu_Hp25,3783,761
Am_tu_Hp24,3620,656
Op_me_Pcar,535,26
Am_is_Aden,1077,815
Pl_gl_Cglo,3135,671
Sr_ci_PL03,206,1521
Op_me_Ocar,1336,119
EE_ha_Crho,3628,331
Sr_ci_Sx10,3686,275
Am_ar_Pesp,1546,609
Sr_di_Ccoh,4885,817
Sr_rh_Blon,4220,596
Sr_st_Ospa,4174,369
EE_cr_Rlen,5393,513
Sr_st_Slat,2524,165
Pl_gr_Corb,5313,1193
Sr_ci_Ftar,2682,752
Am_is_Grob,1039,1372
Am_di_Luap,4317,1260
Sr_ci_Ptuz,4104,356
EE_is_Smul,3099,589
Sr_di_Nsci,4713,735
Sr_ci_LE01,2054,617
Am_tu_Aint,4515,858
Sr_di_Bnut,4973,992
Pl_gr_Mant,4749,889
Pl_gr_Pokl,2891,561
Pl_gr_Gbil,2245,414
Sr_st_Asub,3936,147
Am_tu_Nf02,3202,767
Am_tu_Ps01,4195,789
Sr_st_Aman,3586,338
Sr_ci_Lx44,769,213
Am_tu_Amsp,3659,523
Sr_ci_AR02,258,939
EE_ap_Rram,4066,1084
Ex_ma_Mcal,914,77
Am_tu_Hr03,2955,3849
Sr_rh_Pglo,4638,560
Am_tu_Hr01,3586,2727
Am_tu_Hver,1344,103
Am_my_Eoli,4114,664
Am_my_Pnoc,4308,568
Sr_st_Apal,4116,232
Pl_gr_Pgin,2691,515
Sr_rh_Hg01,2904,229
Am_my_Ngra,3773,1080
Sr_rh_Qj01,3467,356
Sr_st_Sspa,2009,120
Am_tu_As01,2902,556
Am_tu_As03,2249,515
Am_tu_As02,2999,850
Am_tu_As04,3659,1498
Sr_ci_Fsal,2860,187
EE_is_Pbil,3994,489
Am_tu_Ns07,4384,840
Sr_ci_CR09,36,4
Sr_ci_PA02,631,1781
Sr_rh_Crep,4919,746
Sr_di_Kfol,5757,782
Sr_rh_Lamo,4724,836
Sr_ci_GE03,1348,226
Sr_ci_GE02,3166,643
Pl_gr_Ppaa,536,57
EE_ap_Mpla,3704,2187
EE_ha_Pant,4124,318
Am_is_Sram,4688,835
Pl_rh_Emad,2764,273
Sr_ci_Lx18,3513,238
Sr_st_Ppyr,3795,260
Am_di_Cmin,3914,593
Op_me_Cpul,741,67
Am_uk_Uk01,4458,1877
Sr_ci_Lx17,908,210
Op_me_Bplu,266,5
Sr_ci_Lx48,980,56
Pl_gr_Cscu,383,42
EE_ce_Reri,4144,501
Op_me_Omin,382,15
Sr_rh_Aa01,1339,2393
Am_tu_HX04,1828,725
Am_tu_HX09,2222,772
Am_tu_HX08,401,100
Sr_di_Kbre,5334,1050
Am_tu_HX01,273,49
Am_tu_HX03,3279,565
Am_tu_HX02,1298,447
Am_tu_HX05,1332,270
Am_my_Ppol,2247,282
Am_tu_HX07,1448,255
Am_tu_HX06,353,199
